Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.696600,-113.729400,-90.000000,top
C2,2kV 1nF,C_1206_3216Metric,120.076500,-114.826050,0.000000,top
C3,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.694600,-109.462201,-90.000000,top
C4,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.693600,-105.282201,-90.000000,top
C5,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.683400,-101.111001,-90.000000,top
C6,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.693400,-96.946001,-90.000000,top
C7,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.704500,-92.748001,-90.000000,top
C8,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.704500,-88.588001,-90.000000,top
C9,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.713400,-84.426001,-90.000000,top
C10,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.704500,-80.268001,-90.000000,top
C11,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.703400,-76.106001,-90.000000,top
C12,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.702300,-71.964001,-90.000000,top
C13,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.712300,-67.814001,-90.000000,top
C14,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.460100,-63.666001,-90.000000,top
C15,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.469400,-59.526001,-90.000000,top
C16,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.469400,-55.346001,-90.000000,top
C17,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.469400,-51.176001,-90.000000,top
C18,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.354000,-74.323501,-90.000000,top
C19,100n 16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.335400,-79.005001,-90.000000,top
